athlete_id,sum(points)
98764865,384.03044312044904
98763524,254.03865799521637
98760109,590.9499988555908
98763413,332.3097546243515
98769259,569.1569989919662
98764057,515.7378212837715
98766659,245.0071413030948
98765257,402.7770023345947
98768016,505.68307744891354
98765500,323.358614060624
98765649,496.78021732154843
98765737,512.7849979400635
98766378,385.61253163718413
98762110,421.06900215148926
98767186,305.46873394756597
98767103,533.7339998483658
98764677,523.7472380708236
98763089,397.45828102305404
98769602,482.4320011138916
98764494,435.14795916370394
98761008,386.1299991607666
98767221,522.2757998306274
98762502,0
98763139,0
98767688,95.93000030517578
98762719,484.0313994940643
98767725,519.0353051367264
98769154,547.6569967269897
98762961,518.6187493991852
98760578,103.33437235622785
98761056,333.3415013521652
98769912,451.38702344973376
98766328,513.5660009384155
98765061,387.3584788200111
98762659,265.69078820780373
98761863,541.5559988021851
98762904,303.9081755678901
98765152,145.14099979400635
98766966,106.54967865027999
98766597,87.0040313062849
98760447,544.3319989442825
98763135,488.2730007171631
98768648,290.3380002975464
98766288,362.8053846939964
98765243,367.371601460968
98760369,320.90383207557676
98764393,462.5836209962158
98760984,0
98761498,524.6789989471436
98767951,491.43335910968017
98768672,277.0584766759853
98760685,249.52062621877002
98765133,163.15000128746033
98768161,587.9900031685829
98762535,501.0853178101729
98763567,0
98760519,583.8965291250915
98767689,105.78400039672852
98762558,274.3512528915253
98766544,473.3789987564087
98767893,284.7790806603966
98766826,307.0719985961914
98764609,366.3573208890228
98765846,492.5684848129272
98765551,213.48735121253583
98760684,671.5460014343262
98760145,299.63792823942515
98765750,184.8600344785117
98760947,80.46100044250488
98767313,435.5571782213649
98767884,485.954118702095
98761018,0
98765720,336.8549293359356
98760806,443.2118827077207
98764611,343.4130001068115
98766044,503.15900135040283
98768680,380.221240181181
98764414,335.3769989013672
98764699,259.81434380155275
98763683,529.3839988708496
98764761,315.0880496303557
98760752,293.5080455057764
98761877,368.1668078441925
98761114,648.7540007829666
98763066,582.5149981975555
98763105,573.2540010213852
98767323,473.38357957722474
98768747,69.73200035095215
98769564,417.84565203820324
98769879,384.77750127941124
98769942,372.1491961038846
98763679,253.0708378239058
98763294,578.047639030468
98768282,260.2383481792707
98766266,183.18218721985815
98767271,604.7279989719391
98763010,367.1423924362259
98763012,140.24400255169581
98765618,610.7819986343384
98760517,222.2549991607666
98766704,497.61675388941575
98769914,298.05808244594954
98764857,524.0869979858398
98760443,204.7102691109352
98769137,265.4457791480521
98760833,152.21519161862943
98762086,363.9940004348755
98767562,548.1239967346191
98769318,543.3430000543594
98762292,352.21141479508583
98769720,418.68790037361146
98764730,332.9557139801482
98764734,469.5510015487671
98762180,525.9549994468689
98765561,346.5166729020023
98766332,629.5115688752975
98760765,547.2519977092743
98765269,565.3200006484985
98764988,409.44391493267915
98761829,157.78300094604492
98761386,678.0670022964478
98765217,347.8298205469647
98760070,67.87100028991699
98766174,510.42399978637695
98763800,316.40886974422267
98765112,22.38074152384567
98762029,482.9142994360809
98769496,429.64044853842347
98769545,664.8259992599487
98766833,470.9978465320988
98762157,468.3563876302719
98765228,309.80302838643456
98764257,484.77088417797086
98768577,210.21955823947522
98763302,475.67993791580193
98765082,463.62942517471447
98769661,509.7299995422363
98763041,504.3920015990734
98769572,601.0509996414185
98763693,535.7060041427612
98760597,369.8421260662909
98766222,501.4139986038208
98761391,503.2115528356552
98760128,392.90377964701077
98762486,443.29088783122256
98761167,455.3698859365463
98763374,521.9412553094215
98762200,520.4809990692138
98763964,335.51502111847685
98767987,596.7980031967163
98768255,560.4603771789904
98766003,461.791976685009
98768793,101.03900146484375
98762286,390.74381805588905
98762314,571.8328899500847
